epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,799.002,0.83371,1.86103,0.88065,1.2491,0,0.63447,0.67929,0.67603,0.44978,0.74068,0.5745,0.66536,0.40682,1.3073,2.79712,1.30406,1.70344,0,0.00082925,0.00082925,0.00082925
53,814.854,0.84264,1.90537,0.89461,1.24205,0,0.76512,0.67368,0.74224,0.48185,0.74137,0.67257,0.70199,0.44344,1.24491,2.63946,1.15953,1.6699,0,0.000821,0.000821,0.000821
54,830.571,0.83671,1.87086,0.87702,1.26364,0,0.74081,0.68773,0.73121,0.48865,0.7831,0.61268,0.69363,0.4257,1.1815,2.70031,1.26703,1.60684,0,0.00081275,0.00081275,0.00081275
55,846.258,0.846,1.96057,0.90367,1.24534,0,0.81187,0.65246,0.72425,0.49535,0.81187,0.65246,0.71487,0.44474,1.20353,2.60772,1.22474,1.62587,0,0.0008045,0.0008045,0.0008045
56,862.541,0.82446,1.95557,0.86184,1.22539,0,0.7416,0.66516,0.69304,0.47409,0.73237,0.64475,0.66319,0.41446,1.23228,2.64306,1.26759,1.68406,0,0.00079625,0.00079625,0.00079625
57,878.386,0.8001,1.80976,0.81781,1.22759,0,0.75088,0.6889,0.69969,0.46157,0.733,0.67586,0.66822,0.42083,1.27464,2.69435,1.33565,1.74534,0,0.000788,0.000788,0.000788
58,894.95,0.79791,1.79287,0.7969,1.22055,0,0.82223,0.59001,0.69939,0.4858,0.80837,0.57564,0.67549,0.43299,1.20378,2.91612,1.36757,1.5997,0,0.00077975,0.00077975,0.00077975
59,910.401,0.81387,1.82113,0.83221,1.21308,0,0.81459,0.66676,0.75871,0.51932,0.83005,0.64937,0.7361,0.46802,1.21358,2.60427,1.13582,1.64947,0,0.0007715,0.0007715,0.0007715
60,926.18,0.77608,1.86145,0.82497,1.19949,0,0.82034,0.6622,0.72215,0.46977,0.82138,0.65165,0.68106,0.43328,1.22142,2.58327,1.32005,1.67103,0,0.00076325,0.00076325,0.00076325
61,941.514,0.74917,1.77539,0.7583,1.17932,0,0.77235,0.63178,0.69169,0.46143,0.76495,0.62003,0.67454,0.41755,1.2618,2.53723,1.46337,1.68878,0,0.000755,0.000755,0.000755
62,957.078,0.80719,1.87744,0.83307,1.22097,0,0.77599,0.59331,0.67419,0.44962,0.77096,0.58488,0.66053,0.42148,1.21389,2.64762,1.5033,1.62068,0,0.00074675,0.00074675,0.00074675
63,972.002,0.78584,1.78096,0.82192,1.2002,0,0.75911,0.6431,0.70483,0.47747,0.7436,0.62834,0.67632,0.41571,1.2058,2.70773,1.25462,1.64447,0,0.0007385,0.0007385,0.0007385
64,986.915,0.77623,1.80619,0.79526,1.1821,0,0.80951,0.61479,0.68355,0.46442,0.81841,0.60772,0.67217,0.41973,1.20876,2.73987,1.3544,1.63453,0,0.00073025,0.00073025,0.00073025
65,1002.24,0.78854,1.82748,0.81551,1.1903,0,0.78467,0.66378,0.71938,0.48458,0.78375,0.66411,0.69395,0.44142,1.16605,2.5413,1.32028,1.62978,0,0.000722,0.000722,0.000722
66,1017.1,0.75194,1.77604,0.78616,1.18118,0,0.73117,0.65686,0.69706,0.47252,0.72387,0.64622,0.67305,0.42079,1.18246,2.61331,1.26144,1.61063,0,0.00071375,0.00071375,0.00071375
67,1032.41,0.75296,1.7879,0.78008,1.19362,0,0.75955,0.7199,0.75087,0.52001,0.7656,0.72509,0.74343,0.47301,1.11851,2.47342,1.1462,1.53226,0,0.0007055,0.0007055,0.0007055
68,1047.3,0.77061,1.84222,0.80116,1.19256,0,0.75758,0.64466,0.72389,0.48439,0.7295,0.62059,0.67758,0.43469,1.13736,2.72094,1.3184,1.60373,0,0.00069725,0.00069725,0.00069725
69,1062.03,0.73034,1.73279,0.73139,1.18298,0,0.71635,0.65497,0.67036,0.44378,0.72031,0.65011,0.65755,0.40649,1.20452,2.61028,1.38913,1.68739,0,0.000689,0.000689,0.000689
70,1076.86,0.72761,1.69424,0.73753,1.17832,0,0.77815,0.64484,0.71054,0.48389,0.76329,0.63346,0.69327,0.43407,1.15688,2.58682,1.32201,1.57077,0,0.00068075,0.00068075,0.00068075
71,1091.74,0.76057,1.74198,0.76424,1.18758,0,0.77818,0.65421,0.71483,0.4901,0.78045,0.64932,0.69192,0.44358,1.19555,2.67868,1.41137,1.68185,0,0.0006725,0.0006725,0.0006725
72,1106.62,0.7589,1.79695,0.77498,1.20626,0,0.81001,0.62973,0.70441,0.48403,0.79166,0.61486,0.6795,0.42847,1.14436,2.683,1.35094,1.60768,0,0.00066425,0.00066425,0.00066425
73,1121.46,0.74071,1.70272,0.74371,1.17709,0,0.70177,0.66952,0.69231,0.48335,0.69564,0.66578,0.68214,0.43664,1.1357,2.67357,1.40423,1.57928,0,0.000656,0.000656,0.000656
74,1136.32,0.74072,1.76269,0.81297,1.17939,0,0.83871,0.63888,0.71988,0.4707,0.82951,0.62888,0.6804,0.42201,1.19642,2.69668,1.27014,1.63155,0,0.00064775,0.00064775,0.00064775
75,1151.24,0.72599,1.68803,0.74033,1.15744,0,0.86543,0.65695,0.7373,0.49135,0.82903,0.61343,0.69,0.43815,1.16435,2.61752,1.26576,1.66493,0,0.0006395,0.0006395,0.0006395
76,1166.2,0.73686,1.72194,0.74658,1.17035,0,0.73121,0.69262,0.72575,0.50014,0.85225,0.60411,0.6947,0.45263,1.12472,2.61976,1.25181,1.54027,0,0.00063125,0.00063125,0.00063125
77,1181.09,0.73302,1.74043,0.72549,1.17225,0,0.76979,0.69034,0.73609,0.50682,0.75588,0.69136,0.71924,0.46218,1.16506,2.57899,1.36318,1.58408,0,0.000623,0.000623,0.000623
78,1196.01,0.73195,1.73035,0.73793,1.17394,0,0.82294,0.65217,0.7306,0.5145,0.80593,0.63729,0.70892,0.46249,1.1182,2.45977,1.20349,1.55229,0,0.00061475,0.00061475,0.00061475
79,1210.85,0.74109,1.68486,0.73578,1.17347,0,0.81958,0.71003,0.73537,0.50378,0.81325,0.70378,0.71338,0.44825,1.15149,2.59475,1.16043,1.58417,0,0.0006065,0.0006065,0.0006065
80,1225.63,0.73614,1.71064,0.7243,1.16075,0,0.73626,0.66965,0.70407,0.49412,0.75024,0.6662,0.69454,0.44876,1.07236,2.46789,1.28915,1.54035,0,0.00059825,0.00059825,0.00059825
81,1240.41,0.70119,1.61114,0.70917,1.14495,0,0.81358,0.71016,0.73097,0.50514,0.79051,0.70847,0.71348,0.4626,1.13629,2.5524,1.21083,1.58222,0,0.00059,0.00059,0.00059
82,1255.28,0.71608,1.69966,0.7027,1.16543,0,0.82968,0.69984,0.73779,0.50832,0.83,0.68983,0.72295,0.45529,1.14466,2.64129,1.10691,1.60805,0,0.00058175,0.00058175,0.00058175
83,1270.21,0.68,1.62947,0.69291,1.14514,0,0.85092,0.6721,0.73873,0.49979,0.83479,0.64242,0.70613,0.43775,1.13504,2.57623,1.18235,1.58151,0,0.0005735,0.0005735,0.0005735
84,1285.19,0.67431,1.60547,0.65947,1.13315,0,0.78606,0.64894,0.73616,0.51204,0.80346,0.66202,0.72851,0.46881,1.15779,2.60414,1.16917,1.59651,0,0.00056525,0.00056525,0.00056525
85,1300.02,0.68847,1.63523,0.65927,1.14019,0,0.73637,0.67832,0.72859,0.49704,0.83809,0.58872,0.69687,0.43755,1.17506,2.63565,1.35989,1.58528,0,0.000557,0.000557,0.000557
86,1314.85,0.66453,1.64205,0.66382,1.1226,0,0.80884,0.68731,0.73474,0.49592,0.80075,0.69631,0.73002,0.44451,1.16851,2.64555,1.25943,1.61406,0,0.00054875,0.00054875,0.00054875
87,1329.76,0.67662,1.59338,0.64487,1.12027,0,0.77164,0.6712,0.72642,0.50806,0.75346,0.65641,0.70266,0.44918,1.18139,2.71888,1.33632,1.64942,0,0.0005405,0.0005405,0.0005405
88,1344.67,0.70479,1.67955,0.70843,1.1384,0,0.85572,0.66671,0.7676,0.53106,0.85335,0.66407,0.74082,0.47195,1.11978,2.72558,1.0949,1.54732,0,0.00053225,0.00053225,0.00053225
89,1359.54,0.68248,1.65982,0.65994,1.13951,0,0.76156,0.63414,0.70274,0.49205,0.75948,0.62894,0.68547,0.43964,1.1733,2.74696,1.34847,1.6332,0,0.000524,0.000524,0.000524
90,1374.36,0.68828,1.70282,0.65646,1.13452,0,0.79545,0.68245,0.72437,0.5096,0.8018,0.68857,0.72589,0.45481,1.14585,2.70992,1.17129,1.59561,0,0.00051575,0.00051575,0.00051575
91,1389.17,0.69815,1.66702,0.6594,1.15904,0,0.84912,0.64759,0.74347,0.53173,0.8518,0.65513,0.72523,0.48117,1.1203,2.61672,1.26433,1.57183,0,0.0005075,0.0005075,0.0005075
92,1403.96,0.68,1.66673,0.70962,1.13627,0,0.75212,0.68061,0.72215,0.5216,0.74491,0.65923,0.6942,0.4633,1.08568,2.57629,1.27814,1.53849,0,0.00049925,0.00049925,0.00049925
93,1418.78,0.63204,1.5291,0.60982,1.10938,0,0.79317,0.69999,0.74347,0.51689,0.77758,0.68374,0.72076,0.45991,1.15474,2.61459,1.21156,1.65339,0,0.000491,0.000491,0.000491
94,1433.59,0.63837,1.53859,0.60523,1.10291,0,0.84159,0.67497,0.73773,0.51428,0.75639,0.72637,0.7182,0.46963,1.13586,2.77684,1.27102,1.59806,0,0.00048275,0.00048275,0.00048275
95,1448.87,0.63968,1.53322,0.61704,1.10266,0,0.7497,0.6765,0.68331,0.48146,0.73689,0.6662,0.67054,0.43123,1.14544,2.55805,1.31078,1.56713,0,0.0004745,0.0004745,0.0004745
96,1463.69,0.62713,1.51241,0.59912,1.10132,0,0.78886,0.66634,0.71002,0.51202,0.77102,0.67812,0.70292,0.4561,1.18407,2.7373,1.39354,1.64474,0,0.00046625,0.00046625,0.00046625
